sep=;
UF;CHAVE;NUMERO;SERIE;EMISSAO;CNPJ EMISSOR;IE EMISSOR;RAZAO SOCIAL;CNPJ-CPF DESTINATARIO;IE DESTINATARIO;RAZAO SOCIAL;CFOP;SELAGEM;SITUACAO;TIPO;VALOR;VL_BC;VL_ICMS;VL_ICMS_ST;VL_PIS;VL_COFINS;REJEITADA
AM;'13260106710613000956652540002003701822267760';200370;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5405;-;AUTORIZADA;SAÍDA;133,05;0,0;0,0;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003691993331063';200369;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;416,51;85,18;17,06;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003681379914962';200368;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5405;-;AUTORIZADA;SAÍDA;165,19;2,99;0,6;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003671439553807';200367;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;128,91;2,1;0,42;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003661503940716';200366;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;431,25;47,29;9,47;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003651446258446';200365;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;443,14;62,44;12,52;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003641436051310';200364;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;40,55;0,0;0,0;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003631743275260';200363;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;113,77;0,0;0,0;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003621982902829';200362;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5405;-;AUTORIZADA;SAÍDA;79,08;0,0;0,0;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003611255942815';200361;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;257,72;0,0;0,0;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003601582737834';200360;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5405;-;AUTORIZADA;SAÍDA;313,01;91,49;18,31;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003591956046338';200359;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;303,16;29,48;5,9;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003581171188910';200358;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;330,57;8,98;1,8;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003571424958656';200357;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;227,6;10,98;2,2;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003561358602537';200356;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5405;-;AUTORIZADA;SAÍDA;48,52;2,98;0,6;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003551898658683';200355;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;336,63;23,05;4,62;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003541357150107';200354;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;807,06;47,54;9,52;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003531769602539';200353;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5405;-;AUTORIZADA;SAÍDA;163,4;10,99;2,2;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003521368644802';200352;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;158,3;10,4;2,08;0,0;0,0;0,0;N;
